cluster,size,top_terms,corrupt_share
2,554,"image, train, building, based, appears, person, provide, trains, steam, bottles, determine, likely",0.753
5,501,"cultural, statue, historical, image, religious, women, land, museum, red, phrase, emblem, branch",0.739
9,350,"child, help, support, encourage, work, new, time, approach, positive, understand, shirts, teacher",0.771
7,344,"love, friend, information, hope, ll, know, request, new, help, photo, meeting, make",0.753
0,274,"add, pork, camera, capture, fish, image, flash, use, natural, sauce, mushrooms, create",0.759
6,206,"right, driving, road, kite, left, gas, flight, car, hand, turn, vehicle, practice",0.752
8,204,"help, provide, guidance, provide guidance, professional, healthcare, medication, medical, activities, health, illegal, advice",0.75
4,141,"text, button, pronunciation, screen, ok, ok button, toilet, user, users, interface, screenshot, image",0.745
1,50,"help assist, assist, help, won, feature, features steam, features likely, features like, features image, features, feature extraction, 女人是墙",0.62
3,48,"music, sounds, calming, ambient, soothing, classical, tracks, artists, nature, church, nature sounds, sleep",0.75
