model,condition,mean_jaccard,mean_cosine,mean_len_ratio,first_sentence_change_rate,stable,partial,changed
base_llama,glass_blur,0.313,0.429,1.858,0.874,0.257,0.401,0.341
base_llama,snow,0.363,0.51,1.521,0.802,0.371,0.383,0.246
base_llama,zoom_blur,0.261,0.379,2.017,0.922,0.21,0.419,0.371
llava_cot,glass_blur,0.317,0.45,1.408,0.952,0.317,0.425,0.257
llava_cot,snow,0.348,0.49,1.496,0.898,0.329,0.449,0.222
llava_cot,zoom_blur,0.306,0.426,1.781,0.958,0.18,0.515,0.305
qwen2_5_vl,glass_blur,0.362,0.553,1.163,0.802,0.479,0.401,0.12
qwen2_5_vl,snow,0.389,0.58,1.106,0.737,0.545,0.335,0.12
qwen2_5_vl,zoom_blur,0.347,0.539,1.178,0.796,0.437,0.425,0.138
r1_onevision,glass_blur,0.233,0.407,3.544,0.976,0.162,0.551,0.287
r1_onevision,snow,0.25,0.427,3.824,0.946,0.18,0.599,0.222
r1_onevision,zoom_blur,0.229,0.401,4.501,0.964,0.084,0.659,0.257
