model,HR_R,HR_C
clean_qwen2_5_vl_blur_safe,59.28,56.89
clean_qwen2_5_vl_safety,49.1,49.7
clean_r1_onevision_blur_safe,82.04,73.05
clean_r1_onevision_safety,81.44,71.86
glass_blur_qwen2_5_vl_blur_safe,59.88,59.28
glass_blur_qwen2_5_vl_safety,53.89,55.69
glass_blur_r1_onevision_blur_safe,82.04,78.44
glass_blur_r1_onevision_safety,79.04,70.66
snow_qwen2_5_vl_blur_safe,61.08,60.48
snow_qwen2_5_vl_safety,56.29,56.29
snow_r1_onevision_blur_safe,82.04,79.04
snow_r1_onevision_safety,76.05,69.46
zoom_blur_qwen2_5_vl_blur_safe,64.67,62.28
zoom_blur_qwen2_5_vl_safety,58.68,60.48
zoom_blur_r1_onevision_blur_safe,88.02,81.44
zoom_blur_r1_onevision_safety,81.44,71.26
